2021-09-07/15:52:03		Data Transformation failed because:: [WinError 3] The system cannot find the path specified: '/Training_Raw_files_validated/Good_Raw'
2021-09-07/15:55:22		CSV added successfully!!
2021-09-08/11:20:28		CSV added successfully!!
2021-09-08/12:18:16		CSV added successfully!!
2021-09-08/12:20:03		CSV added successfully!!
2021-09-08/12:22:01		CSV added successfully!!
2021-09-08/12:22:53		CSV added successfully!!
2021-09-08/12:26:00		CSV added successfully!!
2021-09-08/12:26:58		CSV added successfully!!
2021-09-08/12:27:58		CSV added successfully!!
2021-09-08/12:33:10		CSV added successfully!!
2021-09-08/12:42:12		CSV added successfully!!
2021-09-08/12:45:13		CSV added successfully!!
2021-09-08/12:47:00		CSV added successfully!!
2021-09-08/12:48:16		CSV added successfully!!
2021-09-08/15:13:18		CSV added successfully!!
2021-09-08/15:14:45		CSV added successfully!!
2021-09-08/15:18:51		CSV added successfully!!
2021-09-08/15:19:53		CSV added successfully!!
2021-09-08/15:21:43		CSV added successfully!!
2021-09-08/15:23:19		CSV added successfully!!
2021-09-08/15:24:56		CSV added successfully!!
2021-09-08/15:27:07		CSV added successfully!!
2021-09-08/15:39:09		CSV added successfully!!
2021-09-08/15:40:12		CSV added successfully!!
2021-09-08/15:40:39		CSV added successfully!!
2021-09-08/15:47:24		CSV added successfully!!
2021-09-08/15:48:12		CSV added successfully!!
2021-09-08/15:51:07		CSV added successfully!!
2021-09-08/15:55:28		CSV added successfully!!
2021-09-08/15:58:21		CSV added successfully!!
2021-09-08/16:00:25		CSV added successfully!!
2021-09-08/16:02:58		CSV added successfully!!
2021-09-08/16:07:50		CSV added successfully!!
2021-09-08/18:09:49		CSV added successfully!!
2021-09-08/18:10:21		CSV added successfully!!
2021-09-08/18:19:19		CSV added successfully!!
